id,text,theme,word_count,source
james_01,"“It was about September, 1884, when I had the first experience. On the previous night I had had, after getting into bed at my rooms in College, a vivid tactile hallucination of being grasped by the arm, which made me get up and search the room for an intruder; but the sense of presence properly so called came on the next night. After I had got into bed and blown out the candle, I lay awake awhile thinking on the previous night’s experience, when suddenly I _felt_ something come into the room and stay close to my bed. It remained only a minute or two. I did not recognize it by any ordinary sense, and yet there was a horribly unpleasant ‘sensation’ connected with it. It stirred something more at the roots of my being than any ordinary perception. The feeling had something of the quality of a very large tearing vital pain spreading chiefly over the chest, but within the organism—and yet the feeling was not _pain_ so much as _abhorrence_. At all events, something was present with me, and I knew its presence far more surely than I have ever known the presence of any fleshly living creature. I was conscious of its departure as of its coming: an almost instantaneously swift going through the door, and the ‘horrible sensation’ disappeared.",presence,223,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_02,"“Between twenty and thirty I gradually became more and more agnostic and irreligious, yet I cannot say that I ever lost that ‘indefinite consciousness’ which Herbert Spencer describes so well, of an Absolute Reality behind phenomena. For me this Reality was not the pure Unknowable of Spencer’s philosophy, for although I had ceased my childish prayers to God, and never prayed to _It_ in a formal manner, yet my more recent experience shows me to have been in a relation to _It_ which practically was the same thing as prayer. Whenever I had any trouble, especially when I had conflict with other people, either domestically or in the way of business, or when I was depressed in spirits or anxious about affairs, I now recognize that I used to fall back for support upon this curious relation I felt myself to be in to this fundamental cosmical _It_. It was on my side, or I was on Its side, however you please to term it, in the particular trouble, and it always strengthened me and seemed to give me endless vitality to feel its underlying and supporting presence. In fact, it was an unfailing fountain of living justice, truth, and strength, to which I instinctively turned at times of weakness, and it always brought me out. I know now that it was a personal relation I was in to it, because of late years the power of communicating with it has left me, and I am conscious of a perfectly definite loss. I used never to fail to find it when I turned to it. Then came a set of years when sometimes I found it, and then again I would be wholly unable to make connection with it. I remember many occasions on which at night in bed, I would be unable to get to sleep on account of worry. I turned this way and that in the darkness, and groped mentally for the familiar sense of that higher mind of my mind which had always seemed to be close at hand as it were, closing the passage, and yielding support, but there was no electric current. A blank was there instead of _It_: I couldn’t find anything. Now, at the age of nearly fifty, my power of getting into connection with it has entirely left me; and I have to confess that a great help has gone out of my life. Life has become curiously dead and indifferent; and I can now see that my old experience was probably exactly the same thing as the prayers of the orthodox, only I did not call them by that name. What I have spoken of as ‘It’ was practically not Spencer’s Unknowable, but just my own instinctive and individual God, whom I relied upon for higher sympathy, but whom somehow I have lost.”",faith_doubt,473,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_03,"“I remember the night, and almost the very spot on the hilltop, where my soul opened out, as it were, into the Infinite, and there was a rushing together of the two worlds, the inner and the outer. It was deep calling unto deep,—the deep that my own struggle had opened up within being answered by the unfathomable deep without, reaching beyond the stars. I stood alone with Him who had made me, and all the beauty of the world, and love, and sorrow, and even temptation. I did not seek Him, but felt the perfect unison of my spirit with His. The ordinary sense of things around me faded. For the moment nothing but an ineffable joy and exaltation remained. It is impossible fully to describe the experience. It was like the effect of some great orchestra when all the separate notes have melted into one swelling harmony that leaves the listener conscious of nothing save that his soul is being wafted upwards, and almost bursting with its own emotion. The perfect stillness of the night was thrilled by a more solemn silence. The darkness held a presence that was all the more felt because it was not seen. I could not any more have doubted that _He_ was there than that I was. Indeed, I felt myself to be, if possible, the less real of the two.",mystical,229,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_04,"“My highest faith in God and truest idea of him were then born in me. I have stood upon the Mount of Vision since, and felt the Eternal round about me. But never since has there come quite the same stirring of the heart. Then, if ever, I believe, I stood face to face with God, and was born anew of his spirit. There was, as I recall it, no sudden change of thought or of belief, except that my early crude conception had, as it were, burst into flower. There was no destruction of the old, but a rapid, wonderful unfolding. Since that time no discussion that I have heard of the proofs of God’s existence has been able to shake my faith. Having once felt the presence of God’s spirit, I have never lost it again for long. My most assuring evidence of his existence is deeply rooted in that hour of vision, in the memory of that supreme experience, and in the conviction, gained from reading and reflection, that something the same has come to all who have found God. I am aware that it may justly be called mystical. I am not enough acquainted with philosophy to defend it from that or any other charge. I feel that in writing of it I have overlaid it with words rather than put it clearly to your thought. But, such as it is, I have described it as carefully as I now am able to do.”",mystical,248,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_05,"“I was in perfect health: we were on our sixth day of tramping, and in good training. We had come the day before from Sixt to Trient by Buet. I felt neither fatigue, hunger, nor thirst, and my state of mind was equally healthy. I had had at Forlaz good news from home; I was subject to no anxiety, either near or remote, for we had a good guide, and there was not a shadow of uncertainty about the road we should follow. I can best describe the condition in which I was by calling it a state of equilibrium. When all at once I experienced a feeling of being raised above myself, I felt the presence of God—I tell of the thing just as I was conscious of it—as if his goodness and his power were penetrating me altogether. The throb of emotion was so violent that I could barely tell the boys to pass on and not wait for me. I then sat down on a stone, unable to stand any longer, and my eyes overflowed with tears. I thanked God that in the course of my life he had taught me to know him, that he sustained my life and took pity both on the insignificant creature and on the sinner that I was. I begged him ardently that my life might be consecrated to the doing of his will. I felt his reply, which was that I should do his will from day to day, in humility and poverty, leaving him, the Almighty God, to be judge of whether I should some time be called to bear witness more conspicuously. Then, slowly, the ecstasy left my heart; that is, I felt that God had withdrawn the communion which he had granted, and I was able to walk on, but very slowly, so strongly was I still possessed by the interior emotion. Besides, I had wept uninterruptedly for several minutes, my eyes were swollen, and I did not wish my companions to see me. The state of ecstasy may have lasted four or five minutes, although it seemed at the time to last much longer. My comrades waited for me ten minutes at the cross of Barine, but I took about twentyfive or thirty minutes to join them, for as well as I can remember, they said that I had kept them back for about half an hour. The impression had been so profound that in climbing slowly the slope I asked myself if it were possible that Moses on Sinai could have had a more intimate communication with God. I think it well to add that in this ecstasy of mine God had neither form, color, odor, nor taste; moreover, that the feeling of his presence was accompanied with no determinate localization. It was rather as if my personality had been transformed by the presence of a _spiritual spirit_. But the more I seek words to express this intimate intercourse, the more I feel the impossibility of describing the thing by any of our usual images. At bottom the expression most apt to render what I felt is this: God was present, though invisible; he fell under no one of my senses, yet my consciousness perceived him.”",mystical,541,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_06,"“I had been a sufferer from my childhood till my fortieth year. [Details of illhealth are given which I omit.] I had been in Vermont several months hoping for good from the change of air, but steadily growing weaker, when one day during the latter part of October, while resting in the afternoon, I suddenly heard as it were these words: ‘You will be healed and do a work you never dreamed of.’ These words were impressed upon my mind with such power I said at once that only God could have put them there. I believed them in spite of myself and of my suffering and weakness, which continued until Christmas, when I returned to Boston. Within two days a young friend offered to take me to a mental healer (this was January 7, 1881). The healer said: ‘There is nothing but Mind; we are expressions of the One Mind; body is only a mortal belief; as a man thinketh so is he.’ I could not accept all she said, but I translated all that was there for _me_ in this way: ‘There is nothing but God; I am created by Him, and am absolutely dependent upon Him; mind is given me to use; and by just so much of it as I will put upon the thought of right action in body I shall be lifted out of bondage to my ignorance and fear and past experience.’ That day I commenced accordingly to take a little of every food provided for the family, constantly saying to myself: ‘The Power that created the stomach must take care of what I have eaten.’ By holding these suggestions through the evening I went to bed and fell asleep, saying: ‘I am soul, spirit, just one with God’s Thought of me,’ and slept all night without waking, for the first time in several years [the distressturns had usually recurred about two o’clock in the night]. I felt the next day like an escaped prisoner, and believed I had found the secret that would in time give me perfect health. Within ten days I was able to eat anything provided for others, and after two weeks I began to have my own positive mental suggestions of Truth, which were to me like steppingstones. I will note a few of them; they came about two weeks apart.",illness_healing,393,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_07,"“I sat quietly with the healer for half an hour each day, at first with no result; then, after ten days or so, I became quite suddenly and swiftly conscious of a tide of new energy rising within me, a sense of power to pass beyond old haltingplaces, of power to break the bounds that, though often tried before, had long been veritable walls about my life, too high to climb. I began to read and walk as I had not done for years, and the change was sudden, marked, and unmistakable. This tide seemed to mount for some weeks, three or four perhaps, when, summer having come, I came away, taking the treatment up again a few months later. The lift I got proved permanent, and left me slowly gaining ground instead of losing it, but with this lift the influence seemed in a way to have spent itself, and, though my confidence in the reality of the power had gained immensely from this first experience, and should have helped me to make further gain in health and strength if my belief in it had been the potent factor there, I never after this got any result at all as striking or as clearly marked as this which came when I made trial of it first, with little faith and doubtful expectation. It is difficult to put all the evidence in such a matter into words, to gather up into a distinct statement all that one bases one’s conclusions on, but I have always felt that I had abundant evidence to justify (to myself, at least) the conclusion that I came to then, and since have held to, that the physical change which came at that time was, first, the result of a change wrought within me by a change of mental state; and, secondly, that that change of mental state was not, save in a very secondary way, brought about through the influence of an excited imagination, or a _consciously_ received suggestion of an hypnotic sort. Lastly, I believe that this change was the result of my receiving telepathically, and upon a mental stratum quite below the level of immediate consciousness, a healthier and more energetic attitude, receiving it from another person whose thought was directed upon me with the intention of impressing the idea of this attitude upon me. In my case the disease was distinctly what would be classed as nervous, not organic; but from such opportunities as I have had of observing, I have come to the conclusion that the dividing line that has been drawn is an arbitrary one, the nerves controlling the internal activities and the nutrition of the body throughout; and I believe that the central nervous system, by starting and inhibiting local centres, can exercise a vast influence upon disease of any kind, if it can be brought to bear. In my judgment the question is simply how to bring it to bear, and I think that the uncertainty and remarkable differences in the results obtained through mental healing do but show how ignorant we are as yet of the forces at work and of the means we should take to make them effective. That these results are not due to chance coincidences my observation of myself and others makes me sure; that the conscious mind, the imagination, enters into them as a factor in many cases is doubtless true, but in many others, and sometimes very extraordinary ones, it hardly seems to enter in at all. On the whole I am inclined to think that as the healing action, like the morbid one, springs from the plane of the normally _un_conscious mind, so the strongest and most effective impressions are those which _it_ receives, in some as yet unknown, subtle way, _directly_ from a healthier mind whose state, through a hidden law of sympathy, it reproduces.”",illness_healing,646,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_08,"“When I was a monk,” he says, “I thought that I was utterly cast away, if at any time I felt the lust of the flesh: that is to say, if I felt any evil motion, fleshly lust, wrath, hatred, or envy against any brother. I assayed many ways to help to quiet my conscience, but it would not be; for the concupiscence and lust of my flesh did always return, so that I could not rest, but was continually vexed with these thoughts: This or that sin thou hast committed: thou art infected with envy, with impatiency, and such other sins: therefore thou art entered into this holy order in vain, and all thy good works are unprofitable. But if then I had rightly understood these sentences of Paul: ‘The flesh lusteth contrary to the Spirit, and the Spirit contrary to the flesh; and these two are one against another, so that ye cannot do the things that ye would do,’ I should not have so miserably tormented myself, but should have thought and said to myself, as now commonly I do, ‘Martin, thou shalt not utterly be without sin, for thou hast flesh; thou shalt therefore feel the battle thereof.’ I remember that Staupitz was wont to say, ‘I have vowed unto God above a thousand times that I would become a better man: but I never performed that which I vowed. Hereafter I will make no such vow: for I have now learned by experience that I am not able to perform it. Unless, therefore, God be favorable and merciful unto me for Christ’s sake, I shall not be able, with all my vows and all my good deeds, to stand before him.’ This (of Staupitz’s) was not only a true, but also a godly and a holy desperation; and this must they all confess, both with mouth and heart, who will be saved. For the godly trust not to their own righteousness. They look unto Christ their reconciler, who gave his life for their sins. Moreover, they know that the remnant of sin which is in their flesh is not laid to their charge, but freely pardoned. Notwithstanding, in the mean while they fight in spirit against the flesh, lest they should _fulfill_ the lusts thereof; and although they feel the flesh to rage and rebel, and themselves also do fall sometimes into sin through infirmity, yet are they not discouraged, nor think therefore that their state and kind of life, and the works which are done according to their calling, displease God; but they raise up themselves by faith.”(67)",scrupulosity,434,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_09,"“When thou fallest into a fault, in what matter soever it be, do not trouble nor afflict thyself for it. For they are effects of our frail Nature, stained by Original Sin. The common enemy will make thee believe, as soon as thou fallest into any fault, that thou walkest in error, and therefore art out of God and his favor, and herewith would he make thee distrust of the divine Grace, telling thee of thy misery, and making a giant of it; and putting it into thy head that every day thy soul grows worse instead of better, whilst it so often repeats these failings. O blessed Soul, open thine eyes; and shut the gate against these diabolical suggestions, knowing thy misery, and trusting in the mercy divine. Would not he be a mere fool who, running at tournament with others, and falling in the best of the career, should lie weeping on the ground and afflicting himself with discourses upon his fall? Man (they would tell him), lose no time, get up and take the course again, for he that rises again quickly and continues his race is as if he had never fallen. If thou seest thyself fallen once and a thousand times, thou oughtest to make use of the remedy which I have given thee, that is, a loving confidence in the divine mercy. These are the weapons with which thou must fight and conquer cowardice and vain thoughts. This is the means thou oughtest to use—not to lose time, not to disturb thyself, and reap no good.”(68)",self_blame,262,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
james_10,"“I suffer too much in this hospital, both physically and morally. Besides the burnings and the sleeplessness (for I no longer sleep since I am shut up here, and the little rest I get is broken by bad dreams, and I am waked with a jump by nightmares, dreadful visions, lightning, thunder, and the rest), fear, atrocious fear, presses me down, holds me without respite, never lets me go. Where is the justice in it all! What have I done to deserve this excess of severity? Under what form will this fear crush me? What would I not owe to any one who would rid me of my life! Eat, drink, lie awake all night, suffer without interruption—such is the fine legacy I have received from my mother! What I fail to understand is this abuse of power. There are limits to everything, there is a middle way. But God knows neither middle way nor limits. I say God, but why? All I have known so far has been the devil. After all, I am afraid of God as much as of the devil, so I drift along, thinking of nothing but suicide, but with neither courage nor means here to execute the act. As you read this, it will easily prove to you my insanity. The style and the ideas are incoherent enough—I can see that myself. But I cannot keep myself from being either crazy or an idiot; and, as things are, from whom should I ask pity? I am defenseless against the invisible enemy who is tightening his coils around me. I should be no better armed against him even if I saw him, or had seen him. Oh, if he would but kill me, devil take him! Death, death, once for all! But I stop. I have raved to you long enough. I say raved, for I can write no otherwise, having neither brain nor thoughts left. O God! what a misfortune to be born! Born like a mushroom, doubtless between an evening and a morning; and how true and right I was when in our philosophyyear in college I chewed the cud of bitterness with the pessimists. Yes, indeed, there is more pain in life than gladness—it is one long agony until the grave. Think how gay it makes me to remember that this horrible misery of mine, coupled with this unspeakable fear, may last fifty, one hundred, who knows how many more years!”(78)",depression,409,"James, W. (1902). The Varieties of Religious Experience. Longmans, Green & Co. (Public domain.)"
